Timestamp,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
1700108844.773080,4437.307617,4436.410156,4171.666504,4271.153809,4414.615234
1700108844.780890,4431.153809,4439.743652,4166.025879,4282.179688,4416.666504
1700108844.788700,4417.820313,4434.358887,4151.666504,4279.615234,4410.512695
1700108844.796510,4428.461426,4432.307617,4168.077148,4283.717773,4413.589844
1700108844.804320,4440.256348,4444.615234,4175.128418,4286.282227,4417.692383
1700108844.812130,4450.897461,4454.743652,4165.128418,4277.436035,4423.333496
1700108844.819940,4463.846191,4453.717773,4158.589844,4267.563965,4431.794922
1700108844.827750,4465.384766,4455.641113,4149.102539,4257.692383,4431.794922
1700108844.835560,4477.436035,4461.922852,4146.666504,4259.230957,4433.333496
1700108844.843370,4500.769043,4455.512695,4164.230957,4274.871582,4444.230957
1700108844.851180,4485.769043,4435.897461,4179.871582,4272.436035,4440.000000
1700108844.858990,4452.051270,4429.487305,4173.461426,4254.358887,4422.307617
1700108844.866800,4458.205078,4444.358887,4163.589844,4257.307617,4420.897461
1700108844.874610,4472.692383,4453.846191,4181.922852,4273.589844,4425.897461
1700108844.882420,4457.436035,4448.846191,4212.436035,4279.743652,4416.922852
1700108844.890230,4450.256348,4445.897461,4203.333496,4275.256348,4409.615234
1700108844.898040,4457.692383,4445.641113,4165.769043,4262.051270,4410.641113
1700108844.905850,4446.410156,4443.846191,4155.641113,4257.563965,4409.871582
1700108844.913660,4437.051270,4441.538574,4165.256348,4269.871582,4414.487305
1700108844.921470,4447.692383,4435.769043,4156.666504,4270.641113,4419.102539
1700108844.929280,4443.205078,4440.128418,4145.769043,4260.256348,4404.230957
1700108844.937090,4420.256348,4458.333496,4160.128418,4263.333496,4388.205078
1700108844.944900,4412.051270,4450.384766,4182.179688,4264.102539,4395.000000
1700108844.952710,4418.974121,4417.307617,4184.615234,4254.615234,4401.666504
1700108844.960520,4424.102539,4417.051270,4181.922852,4257.179688,4394.743652
1700108844.968330,4422.563965,4442.179688,4194.102539,4265.256348,4393.974121
1700108844.976140,4417.307617,4435.769043,4193.333496,4266.153809,4394.743652
1700108844.983950,4416.922852,4415.256348,4168.461426,4268.717773,4388.205078
1700108844.991760,4418.846191,4425.897461,4160.256348,4267.051270,4391.282227
1700108844.999570,4414.615234,4441.922852,4162.179688,4256.410156,4394.871582
1700108845.007380,4413.717773,4435.128418,4138.205078,4253.974121,4382.179688
1700108845.015190,4421.410156,4431.922852,4117.820313,4262.179688,4383.974121
1700108845.023000,4426.410156,4442.051270,4121.282227,4265.897461,4405.512695
1700108845.030810,4424.871582,4445.897461,4125.000000,4263.589844,4402.436035
1700108845.038620,4417.692383,4448.077148,4144.615234,4263.205078,4384.487305
1700108845.046430,4410.512695,4449.102539,4175.256348,4264.615234,4391.153809
1700108845.054240,4411.794922,4434.230957,4172.179688,4262.051270,4396.410156
1700108845.062050,4409.230957,4420.897461,4165.512695,4258.974121,4381.410156
1700108845.069860,4400.769043,4425.769043,4189.743652,4264.230957,4382.820313
1700108845.077670,4408.077148,4431.666504,4201.794922,4272.563965,4395.512695
1700108845.085480,4412.051270,4431.153809,4192.179688,4273.589844,4384.102539
1700108845.093290,4389.102539,4421.666504,4182.948730,4267.563965,4370.769043
1700108845.101100,4378.077148,4405.512695,4165.512695,4257.820313,4380.000000
1700108845.108910,4395.256348,4416.922852,4157.307617,4253.846191,4384.743652
1700108845.116720,4400.256348,4445.769043,4168.333496,4263.333496,4374.230957
1700108845.124530,4388.846191,4437.820313,4163.846191,4270.641113,4365.384766
1700108845.132340,4381.410156,4421.153809,4151.538574,4266.538574,4356.410156
1700108845.140150,4374.487305,4436.410156,4149.487305,4268.717773,4349.487305
1700108845.147960,4373.974121,4438.077148,4136.153809,4278.589844,4356.538574
1700108845.155770,4383.974121,4424.230957,4131.025879,4283.333496,4365.769043
1700108845.163580,4387.051270,4440.897461,4151.666504,4285.384766,4367.820313
1700108845.171390,4382.692383,4454.615234,4160.897461,4281.410156,4370.128418
1700108845.179200,4384.487305,4441.410156,4162.307617,4268.205078,4370.128418
1700108845.187010,4391.538574,4444.230957,4177.692383,4265.897461,4370.641113
1700108845.194820,4397.179688,4453.205078,4187.820313,4277.692383,4381.538574
1700108845.202630,4396.410156,4431.666504,4196.025879,4282.948730,4386.538574
1700108845.210440,4388.589844,4407.948730,4199.102539,4276.153809,4374.230957
1700108845.218250,4378.717773,4413.205078,4174.230957,4261.153809,4363.974121
1700108845.226060,4371.794922,4431.153809,4166.666504,4246.794922,4363.461426
1700108845.233870,4375.512695,4434.230957,4198.461426,4249.358887,4363.205078
1700108845.241680,4387.307617,4420.384766,4207.436035,4260.384766,4360.384766
1700108845.249490,4391.153809,4418.077148,4197.820313,4262.051270,4356.025879
1700108845.257300,4387.436035,4431.794922,4205.641113,4267.436035,4356.922852
1700108845.265110,4381.282227,4429.487305,4189.102539,4278.205078,4366.025879
1700108845.272920,4367.563965,4420.128418,4149.230957,4270.769043,4367.436035
1700108845.280730,4365.128418,4433.077148,4143.717773,4257.820313,4360.384766
1700108845.288540,4380.769043,4447.051270,4162.948730,4267.436035,4360.641113
1700108845.296350,4379.743652,4445.384766,4173.717773,4282.436035,4360.897461
1700108845.304160,4364.358887,4444.487305,4172.307617,4284.615234,4355.897461
1700108845.311970,4365.384766,4442.051270,4160.128418,4287.820313,4359.871582
1700108845.319780,4359.358887,4436.922852,4156.153809,4292.436035,4355.128418
1700108845.327590,4325.512695,4445.897461,4161.282227,4281.922852,4321.922852
1700108845.335400,4300.000000,4454.358887,4148.333496,4262.307617,4297.051270
1700108845.343210,4303.974121,4443.461426,4134.871582,4254.487305,4303.333496
1700108845.351020,4315.641113,4439.743652,4145.512695,4262.692383,4306.794922
1700108845.358830,4315.256348,4456.538574,4154.743652,4272.436035,4299.487305
1700108845.366640,4305.897461,4462.051270,4153.846191,4270.897461,4303.974121
1700108845.374450,4300.897461,4448.974121,4158.461426,4264.615234,4311.538574
1700108845.382260,4302.307617,4437.179688,4164.358887,4267.563965,4313.846191
